# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
ao si 	奧斯	c=0 d=0.0183599 t=56430
ao tuo 	奧拓	c=0 d=0.0064894 t=56430
ao ye 	熬夜	c=3 d=0.99005 t=56430
ba 	八	c=4 d=0.67368 t=56430
ba 	吧	c=105 d=7.02541 t=56430
ba 	把	c=110 d=8.4275 t=56430
ba cheng 	八成	c=0 d=0.0197899 t=56430
ba chu 	拔出	c=1 d=0.548812 t=56430
ba dian 	八點	c=1 d=0.12307 t=56430
ba gu wen 	八股文	c=1 d=0.00264522 t=56430
ba jie 	八戒	c=4 d=1.73853e-05 t=56430
ba sang 	吧桑	c=2 d=1.1981 t=56430
ba se 	爸銫	c=1 d=0.97531 t=56430
ba shang mian 	把上面	c=1 d=0.0031042 t=56430
ba ta 	把她	c=1 d=0.00174675 t=56430
ba ta 	把它	c=4 d=0.212248 t=56430
ba wo 	把握	c=3 d=0.955998 t=56430
ba xiao shi 	八小時	c=1 d=2.28343e-08 t=56430
ba ya 	拔牙	c=2 d=7.3617e-08 t=56430
ba zhe ge 	把這個	c=1 d=0.932394 t=56430
bai 	白	c=2 d=0.985279 t=56430
bai cai 	白菜	c=0 d=0.00129068 t=56430
bai de 	白的	c=0 d=1.14512e-07 t=56430
bai di 	白底	c=3 d=1.59712 t=56430
bai du 	百度	c=6 d=0.708789 t=56430
bai fen bi 	百分比	c=4 d=0.882454 t=56430
bai fen hao 	百分號	c=2 d=1.16963 t=56430
bai ling 	白領	c=0 d=1.33779e-13 t=56430
bai ling jin 	白領巾	c=1 d=1.3445e-12 t=56430
bai ming 	百名	c=0 d=0.00031354 t=56430
bai ming dan 	白名單	c=1 d=0.00316691 t=56430
bai ming dan 	百名但	c=1 d=0.00315111 t=56430
bai piao 	拜票	c=1 d=7.57998e-06 t=56430
bai piao 	白嫖	c=3 d=0.140156 t=56430
bai se 	白色	c=1 d=0.913931 t=56430
ban 	半	c=0 d=0.0980287 t=56430
ban 	拌	c=1 d=0.00323088 t=56430
ban 	板	c=1 d=1.02832e-05 t=56430
ban 	版	c=16 d=0.991727 t=56430
ban 	班	c=2 d=0.747385 t=56430
ban 	辦	c=7 d=1.78675 t=56430
ban ben 	版本	c=64 d=3.01835 t=56430
ban ben hao 	版本號	c=8 d=0.946485 t=56430
ban dao 	搬到	c=1 d=0.0977834 t=56430
ban fa 	辦法	c=34 d=2.0573 t=56430
ban fan 	拌飯	c=2 d=0.0268001 t=56430
ban gong shi 	辦公室	c=1 d=0.084163 t=56430
ban kuai 	板塊	c=1 d=1 t=56128
ban lian ju 	半臉橘	c=1 d=1.35124e-12 t=56430
ban tian 	半天	c=1 d=0.0867261 t=56430
ban yan 	扮演	c=1 d=4.05796e-08 t=56430
bang 	幫	c=1 d=0.814647 t=56430
bang dan 	榜單	c=1 d=0.392586 t=56430
bang ding 	綁定	c=24 d=2.24194 t=56430
bang ding de 	綁定的	c=1 d=2.52444e-12 t=56430
bang jia 	綁架	c=1 d=0.0682212 t=56430
bang le 	綁了	c=1 d=2.69307e-08 t=56430
bang ni 	幫你	c=2 d=0.00425356 t=56430
bang ta 	幫他	c=1 d=0.0387742 t=56430
bang wo 	幫我	c=24 d=3.4292 t=56430
bang wo kan xia 	幫我看下	c=1 d=2.51793e-11 t=56430
bao 	包	c=63 d=11.7112 t=56430
bao 	報	c=1 d=0.690734 t=56430
bao bao 	寶寶	c=0 d=0.00190631 t=56430
bao bao o 	寶寶哦	c=1 d=0.0191587 t=56430
bao bei 	報備	c=1 d=0.329559 t=56430
bao bei 	寶貝	c=1 d=0.327915 t=56430
bao cao yuan 	包草原	c=1 d=4.13066e-11 t=56430
bao chao 	爆炒	c=1 d=0.865022 t=56430
bao chi 	保持	c=14 d=1.48854 t=56430
bao chi ji cun qi 	保持寄存器	c=1 d=0.198891 t=56430
bao cun 	保存	c=112 d=6.11959 t=56430
bao cun lai 	保存來	c=1 d=1.22265e-12 t=56430
bao cun lei 	保存類	c=1 d=0.384812 t=56430
bao cun yi xie 	保存一些	c=1 d=0.0236356 t=56430
bao cun zai 	保存在	c=1 d=2.35378e-12 t=56430
bao cuo 	報錯	c=39 d=5.17365 t=56430
bao da 	暴打	c=2 d=0.363586 t=56430
bao gao 	報告	c=1 d=0.0176857 t=56430
bao guan li 	包管理	c=1 d=0.00360656 t=56430
bao guo 	包裹	c=4 d=0.0248475 t=56430
bao han 	包含	c=29 d=3.66524 t=56430
bao hu 	保護	c=6 d=0.363148 t=56430
bao hu di 	保護地	c=12 d=0.373649 t=56430
bao huai 	包壞	c=1 d=0.000620491 t=56430
bao huo 	寶貨	c=2 d=0.0807235 t=56430
bao jing 	報警	c=113 d=8.69659 t=56430
bao jing qi 	報警器	c=1 d=0.137381 t=56430
bao jing shi jian 	報警事件	c=1 d=0.0319048 t=56430
bao kuo 	包括	c=9 d=0.803912 t=56430
bao le 	報了	c=1 d=0.191092 t=56430
bao liu 	保留	c=11 d=1.66273 t=56430
bao ming 	包名	c=13 d=1.72021 t=56430
bao ming 	報名	c=1 d=0.216536 t=56430
bao pian 	包片	c=1 d=1.0618e-29 t=56430
bao sao miao 	包掃描	c=1 d=1.61273e-05 t=56430
bao shi jie 	保時捷	c=1 d=0.0167392 t=56430
bao wen 	保溫	c=1 d=0.225373 t=56430
bao wen 	報文	c=5 d=0.531665 t=56430
bao xian 	保險	c=0 d=0.0264477 t=56430
bao xian dai 	保險袋	c=1 d=0.265803 t=56430
bao xiao 	報銷	c=1 d=0.186374 t=56430
bao xiu 	保修	c=1 d=0.0837432 t=56430
bao yuan 	抱怨	c=2 d=0.0277367 t=56430
bao zheng 	保證	c=7 d=0.722542 t=56430
bao zhu shi 	包註釋	c=1 d=0.0105672 t=56430
bao zhuang 	包裝	c=14 d=2.08333 t=56430
bao zhuang lei 	包裝類	c=1 d=0.060205 t=56430
bei 	備	c=2 d=0.0547488 t=56430
bei 	北	c=1 d=0.0125881 t=56430
bei 	唄	c=10 d=3.30606 t=56430
bei 	背	c=1 d=0.00263203 t=56430
bei 	被	c=57 d=2.52888 t=56430
bei an 	備案	c=21 d=2.46616 t=56430
bei an di zhi 	備案地址	c=1 d=2.43132e-11 t=56430
bei an guo 	備案國	c=1 d=0.00054485 t=56430
bei an shi jian 	備案時間	c=1 d=0.024972 t=56430
bei diao yong 	被調用	c=1 d=3.72665e-06 t=56430
bei dou 	北斗	c=1 d=0.463013 t=56430
bei fen 	備份	c=9 d=1.27743 t=56430
bei feng 	被封	c=1 d=0.156453 t=56430
bei feng jin 	被封禁	c=1 d=0.00375375 t=56430
bei jin yong 	被禁用	c=1 d=0.00506703 t=56430
bei jing 	北京	c=6 d=3.24642 t=56430
bei jing 	背景	c=9 d=1.65882 t=56430
bei jing se 	背景色	c=2 d=0.0558548 t=56430
bei kao 	備考	c=1 d=0.218712 t=56430
bei keng 	被坑	c=1 d=0.440432 t=56430
bei ni 	被你	c=1 d=0.034562 t=56430
bei pian le 	被騙了	c=0 d=6.11252e-05 t=56430
bei qiang 	被牆	c=1 d=0.932394 t=56430
bei shan chu 	被刪除	c=1 d=0.0385808 t=56430
bei ting 	碑亭	c=0 d=0.000286554 t=56430
bei ting yong 	碑亭用	c=1 d=0.0028799 t=56430
bei wei 	北緯	c=1 d=0.00390694 t=56430
bei wo 	被我	c=1 d=0.017163 t=56430
bei wo 	被窩	c=1 d=0.017249 t=56430
bei xiu gai 	被修改	c=1 d=0.878095 t=56430
bei yong 	備用	c=1 d=0.000111109 t=56430
bei zhi ding 	被指定	c=1 d=0.609571 t=56430
bei zhu 	備註	c=24 d=1.35441 t=56430
bei zhu yai 	備註崖	c=1 d=3.0532e-14 t=56430
bei zi 	杯子	c=1 d=0.0107269 t=56430
bei zi 	被子	c=2 d=0.683861 t=56430
bei zuo 	碑座	c=1 d=0.680451 t=56430
ben 	本	c=1 d=0.064894 t=56430
ben dan 	笨蛋	c=6 d=1.76829 t=56430
ben di 	本地	c=18 d=4.38421 t=56430
ben ji 	本機	c=6 d=0.967797 t=56430
ben ke 	本科	c=1 d=0.167797 t=56430
ben lai 	本來	c=2 d=0.0333733 t=56430
ben shen 	本身	c=3 d=0.754434 t=56430
ben wei 	本位	c=0 d=0.000128115 t=56430
ben wei hang 	本位行	c=1 d=0.00128757 t=56430
ben wen 	本文	c=0 d=0.00389686 t=56430
ben wen wan 	本文玩	c=1 d=0.0391639 t=56430
ben xi tong 	本系統	c=1 d=3.17564e-06 t=56430
ben zhou 	本週	c=3 d=0.00203789 t=56430
beng 	崩	c=2 d=0.12942 t=56430
beng 	泵	c=0 d=2.9902e-05 t=56430
bi 	比	c=11 d=1.0379 t=56430
bi 	筆	c=3 d=3.18291e-08 t=56430
bi bu shang 	比不上	c=1 d=0.172907 t=56430
bi chuan 	必傳	c=7 d=0.907893 t=56430
bi hua 	筆畫	c=0 d=2.35866e-08 t=56430
bi ji 	筆記	c=2 d=0.895834 t=56430
bi ji ben 	筆記本	c=3 d=1.00458 t=56430
bi jiao 	比較	c=16 d=2.29819 t=56430
bi jiao hao 	比較好	c=4 d=1.86975 t=56430
bi jing 	畢竟	c=4 d=0.337902 t=56430
bi li 	嗶哩	c=4 d=0.0444889 t=56430
bi li 	比例	c=9 d=0.000669773 t=56430
bi li bi li 	嗶哩嗶哩	c=1 d=0.447088 t=56430
bi mian 	避免	c=9 d=0.683861 t=56430
bi neng 	必挵	c=1 d=3.8707e-11 t=56430
bi neng 	比挵	c=1 d=3.50176e-09 t=56430
bi neng 	筆挵	c=1 d=0.470011 t=56430
bi ni 	逼你	c=1 d=0.0294518 t=56430
bi quan 	幣圈	c=1 d=0.00321477 t=56430
bi ru 	比如	c=4 d=0.00653881 t=56430
bi tian 	必填	c=3 d=1.2822e-05 t=56430
bi xu 	必需	c=1 d=0.650509 t=56430
bi xu 	必須	c=19 d=1.6136 t=56430
bi xu yao 	必須要	c=2 d=0.307279 t=56430
bi xun 	比尋	c=1 d=0.0137049 t=56430
bi yao 	必要	c=6 d=0.15699 t=56430
bi ying 	必應	c=1 d=2.41295e-10 t=56430
bi zhi 	壁紙	c=3 d=2.21652 t=56430
bi zi 	鼻子	c=1 d=0.148823 t=56430
bian 	便	c=1 d=0.882497 t=56430
bian 	編	c=1 d=0.847894 t=56430
bian 	變	c=6 d=2.5289 t=56430
bian an 	變暗	c=2 d=0.349672 t=56430
bian cha 	變差	c=1 d=9.37386e-05 t=56430
bian chang 	變長	c=1 d=0.000186888 t=56430
bian cheng 	編程	c=8 d=0.78721 t=56430
bian cheng 	變成	c=14 d=2.32091 t=56430
bian cheng de 	編程的	c=1 d=0.0102549 t=56430
bian cheng fan ti zi 	變成繁體字	c=1 d=0.000717312 t=56430
bian cheng le 	變成了	c=1 d=2.23434e-17 t=56430
bian de 	變得	c=2 d=0.95123 t=56430
bian dong 	變動	c=35 d=1.91724 t=56430
bian dong zhi 	變動值	c=3 d=0.681955 t=56430
bian geng 	變更	c=3 d=0.00100779 t=56430
bian hao 	編號	c=13 d=1.04165 t=56430
bian hao 	變好	c=0 d=0.065377 t=56430
bian hao duo 	變好多	c=1 d=0.657047 t=56430
bian hua 	變化	c=21 d=1.08752 t=56430
bian hua de 	變化的	c=1 d=0.202909 t=56430
bian ji 	編輯	c=8 d=1.14361 t=56430
bian ji hong 	編輯宏	c=1 d=0.0376283 t=56430
bian ji qi 	編輯器	c=4 d=1.4925 t=56430
bian jie 	便捷	c=1 d=0.532592 t=56430
bian jie 	邊界	c=12 d=0.790942 t=56430
bian jie dian 	邊界點	c=5 d=0.0659936 t=56430
bian kuang 	邊框	c=2 d=1.89642 t=56430
bian li 	遍歷	c=3 d=0.0037949 t=56430
bian liang 	變量	c=139 d=10.8215 t=56430
bian ma 	編碼	c=119 d=10.5139 t=56430
bian ma hou 	編碼後	c=1 d=7.6442e-17 t=56430
bian mi 	便祕	c=1 d=0.377192 t=56430
bian pei dian 	變配電	c=4 d=6.01122e-14 t=56430
bian ping 	扁平	c=5 d=0.000530958 t=56430
bian ping feng 	扁平風	c=2 d=0.000159791 t=56430
bian shang 	邊上	c=1 d=0.960789 t=56430
bian shen 	變深	c=1 d=0.00319873 t=56430
bian wei 	變爲	c=1 d=0.506617 t=56430
bian xie 	編寫	c=22 d=3.10852 t=56430
bian yi 	編譯	c=20 d=1.09438 t=56430
bian yi qi 	編譯器	c=3 d=0.613288 t=56430
bian yi shi 	編譯時	c=1 d=8.48182e-05 t=56430
bian yi tong guo 	編譯通過	c=1 d=1.42124e-18 t=56430
bian yuan 	邊緣	c=1 d=0.190139 t=56430
biao 	標	c=1 d=7.28524e-10 t=56430
biao 	表	c=144 d=3.36175 t=56430
biao 	錶	c=1 d=0.451581 t=56430
biao da shi 	表達式	c=16 d=0.575329 t=56430
biao dian 	標點	c=6 d=0.304426 t=56430
biao ge 	表格	c=4 d=1.86891 t=56430
biao ji 	標記	c=9 d=0.0335105 t=56430
biao jie gou 	表結構	c=3 d=0.000224231 t=56430
biao liang 	標量	c=1 d=0.101266 t=56430
biao ming 	表名	c=9 d=0.481914 t=56430
biao pan 	錶盤	c=3 d=0.000875094 t=56430
biao qi 	標齊	c=1 d=0.501576 t=56430
biao qian 	標籤	c=7 d=2.07961 t=56430
biao qian lan 	標籤欄	c=1 d=1.06712e-29 t=56430
biao qian lan 	表淺藍	c=1 d=1.0618e-29 t=56430
biao qian ye 	標籤頁	c=5 d=0.815182 t=56430
biao qing 	表情	c=4 d=3.36323 t=56430
biao she ji 	表設計	c=3 d=0.147342 t=56430
biao shen fen 	表身份	c=1 d=0.0160027 t=56430
biao shi 	標識	c=15 d=0.772736 t=56430
biao shi 	表示	c=54 d=3.37146 t=56430
biao shi shi 	表示是	c=1 d=0.103312 t=56430
biao ti 	標題	c=3 d=0.571622 t=56430
biao ti lan 	標題欄	c=2 d=0.937067 t=56430
biao tou 	表頭	c=10 d=3.69277 t=56430
biao wei 	表位	c=0 d=2.72291e-21 t=56430
biao zhi 	標誌	c=2 d=0.0023461 t=56430
biao zhong 	表中	c=1 d=0.00891518 t=56430
biao zhu 	標註	c=1 d=0.000520875 t=56430
biao zhun 	標準	c=8 d=2.09381 t=56430
bie 	別	c=4 d=0.859141 t=56430
bie de 	別的	c=10 d=1.0513 t=56430
bie ming 	別名	c=3 d=1.09817 t=56430
bie niu 	彆扭	c=1 d=0.0104621 t=56430
bie ren 	別人	c=4 d=1.48292 t=56430
bin 	斌	c=4 d=0.369723 t=56430
bing 	並	c=45 d=2.62177 t=56430
bing 	病	c=1 d=1 t=56097
bing bu 	並不	c=0 d=0.0113608 t=56430
bing bu xing 	並不行	c=1 d=2.43637e-06 t=56430
bing bu xu yao 	並不需要	c=1 d=0.114178 t=56430
bing fa 	併發	c=4 d=0.375341 t=56430
bing fan hui 	並返回	c=1 d=0.00263203 t=56430
bing mei 	並沒	c=1 d=0.00344787 t=56430
bing mei you 	並沒有	c=6 d=0.540641 t=56430
bing ren 	病人	c=2 d=0.00928738 t=56430
bing shuo ming 	並說明	c=2 d=0.00280882 t=56430
bing xiang 	冰箱	c=3 d=0.852144 t=56430
bing zhuang tu 	餅狀圖	c=2 d=3.51231e-05 t=56430
bing zu zhuang 	並組裝	c=1 d=3.35805e-16 t=56430
bo dong 	波動	c=1 d=0.000160054 t=56430
bo fang 	播放	c=2 d=0.367879 t=56430
bo fang kong jian 	播放控件	c=1 d=0.000461975 t=56430
bo fang qi 	播放器	c=2 d=0.502849 t=56430
bo ke 	剝殼	c=1 d=0.158817 t=56430
bo ke 	博客	c=13 d=5.30231 t=56430
bo ke yuan 	博客園	c=1 d=0.715338 t=56430
bo li 	剝離	c=1 d=0.0889216 t=56430
bo te lv 	波特率	c=4 d=0.252491 t=56430
bu 	不	c=65 d=6.57681 t=56430
bu 	步	c=2 d=0.76726 t=56430
bu 	簿	c=0 d=1.6584e-11 t=56430
bu 	補	c=3 d=1.1507 t=56430
bu 	部	c=2 d=0.00141589 t=56430
bu bao cun 	不保存	c=1 d=3.48607e-15 t=56430
bu bao cuo 	不報錯	c=1 d=6.05892e-18 t=56430
bu bao han 	不包含	c=1 d=0.831104 t=56430
bu bei an 	不備案	c=1 d=0.000515692 t=56430
bu bi 	不必	c=1 d=0.0072265 t=56430
bu bi yao 	不必要	c=1 d=1.41979e-06 t=56430
bu bi yao de 	不必要的	c=1 d=0.000863083 t=56430
bu bian 	不變	c=5 d=0.369757 t=56430
bu bu 	補補	c=1 d=0.208045 t=56430
bu cao zuo 	不操作	c=1 d=2.15046e-08 t=56430
bu cha ru 	不插入	c=1 d=0.895835 t=56430
bu cha xun 	不查詢	c=1 d=0.000997758 t=56430
bu chang 	補償	c=3 d=0.0290801 t=56430
bu chao guo 	不超過	c=1 d=0.594521 t=56430
bu cheng 	不成	c=1 d=0.718924 t=56430
bu cheng gong 	不成功	c=1 d=1 t=56430
bu chi 	不喫	c=2 d=0.0121106 t=56430
bu chong 	補充	c=20 d=0.744628 t=56430
bu chong de 	補充的	c=1 d=0.00331267 t=56430
bu chong fu 	不重複	c=1 d=9.17077e-12 t=56430
bu chong ming 	不重名	c=1 d=0.0185924 t=56430
bu chong tu 	不衝突	c=1 d=0.733447 t=56430
bu chou 	不臭	c=1 d=0.0116203 t=56430
bu chu 	不出	c=1 d=0.50409 t=56430
bu chu lai 	不出來	c=3 d=0.661512 t=56430
bu chu lai ba 	不出來吧	c=1 d=0.113608 t=56430
bu chu li 	不處理	c=1 d=0.612626 t=56430
bu chuan 	不傳	c=3 d=0.302704 t=56430
bu chuan di 	不傳遞	c=1 d=0.778801 t=56430
bu cun zai 	不存在	c=59 d=3.25348 t=56430
bu cuo 	不錯	c=12 d=1.85162 t=56430
bu da 	不大	c=1 d=0.00516939 t=56430
bu da ge 	不打嗝	c=1 d=0.0523397 t=56430
bu da kai 	不打開	c=1 d=0.489192 t=56430
bu da suan 	不打算	c=1 d=6.82444e-06 t=56430
bu dai 	不帶	c=5 d=0.975466 t=56430
bu dai you 	不帶有	c=1 d=0.0963276 t=56430
bu dao 	不到	c=11 d=0.209862 t=56430
bu ding 	補丁	c=2 d=1.39838 t=56430
bu dong 	不懂	c=3 d=0.965683 t=56430
bu dong o 	不懂哦	c=1 d=5.04519e-11 t=56430
bu dui 	不對	c=10 d=1.20327 t=56430
bu dui ba 	不對把	c=1 d=0.0154523 t=56430
bu duo 	不多	c=0 d=0.0351692 t=56430
bu duo ba 	不多吧	c=1 d=1.8155e-16 t=56430
bu er 	布爾	c=5 d=0.366045 t=56430
bu er zhi 	布爾值	c=2 d=1.58174e-09 t=56430
bu fa song 	不發送	c=1 d=0.160414 t=56430
bu fan qiang 	不翻牆	c=1 d=0.000602152 t=56430
bu fang bian 	不方便	c=4 d=0.75882 t=56430
bu fen 	部分	c=42 d=3.94284 t=56430
bu fen she bei 	部分設備	c=1 d=0.153355 t=56430
bu fu he 	不符合	c=4 d=1.33746 t=56430
bu gai bian 	不改變	c=2 d=0.000265207 t=56430
bu gan 	不敢	c=3 d=0.99005 t=56430
bu gan jing 	不乾淨	c=1 d=0.937067 t=56430
bu gei 	補給	c=1 d=2.98299e-05 t=56430
bu gei guo 	不給過	c=1 d=0.0378169 t=56430
bu gei ni 	不給你	c=0 d=0.00753961 t=56430
bu gei ni qin 	不給你親	c=2 d=0.151928 t=56430
bu geng gai 	不更改	c=1 d=0.149569 t=56430
bu geng xin 	不更新	c=1 d=5.60375e-11 t=56430
bu gou 	不夠	c=10 d=1.40585 t=56430
bu gou da 	不夠大	c=1 d=0.00285124 t=56430
bu gou le 	不夠了	c=1 d=0.625002 t=56430
bu guan 	不管	c=1 d=7.15582e-05 t=56430
bu guo 	不過	c=49 d=2.76301 t=56430
bu guo lv 	不過濾	c=1 d=0.00400585 t=56430
bu hao 	不好	c=8 d=0.843665 t=56430
bu hao ba 	不好吧	c=1 d=0.164474 t=56430
bu hao tiao 	不好挑	c=1 d=7.84998e-06 t=56430
bu hao zhi 	不好治	c=1 d=0.0277367 t=56430
bu he li 	不合理	c=0 d=0.0167797 t=56430
bu he shi 	不合適	c=2 d=0.000191619 t=56430
bu hu lve 	不忽略	c=1 d=0.00315111 t=56430
bu hui 	不會	c=34 d=4.90136 t=56430
bu hui bei 	不會被	c=1 d=0.00499159 t=56430
bu hui shi 	不會是	c=2 d=0.429557 t=56430
bu hui yong 	不會用	c=2 d=0.064571 t=56430
bu hui you 	不會有	c=1 d=0.00159641 t=56430
bu huo 	捕獲	c=4 d=0.106394 t=56430
bu ji 	不急	c=1 d=0.17552 t=56430
bu ji de 	不記得	c=1 d=0.0655462 t=56430
bu ji de le 	不記得了	c=2 d=0.928115 t=56430
bu ji lian 	不級聯	c=1 d=0.00375375 t=56430
bu jia 	不佳	c=1 d=0.806541 t=56430
bu jia 	不加	c=5 d=0.88776 t=56430
bu jian rong 	不兼容	c=1 d=5.81541e-06 t=56430
bu jiang 	不將	c=1 d=0.000854495 t=56430
bu jin xing 	不進行	c=2 d=3.2092e-12 t=56430
bu jing guo 	不經過	c=1 d=0.115325 t=56430
bu jiu 	不久	c=3 d=0.709726 t=56430
bu jiu shi 	不就是	c=3 d=0.665578 t=56430
bu ka 	不卡	c=2 d=0.625002 t=56430
bu kai 	不開	c=3 d=0.000492145 t=56430
bu kai qi 	不開啓	c=2 d=5.02442e-10 t=56430
bu kao lv 	不考慮	c=1 d=0.271173 t=56430
bu ke 	不可	c=0 d=0.0548812 t=56430
bu ke 	補課	c=1 d=0.113042 t=56430
bu ke kong 	不可控	c=1 d=0.551563 t=56430
bu lai 	不來	c=4 d=0.162219 t=56430
bu lei 	不累	c=0 d=0.00014018 t=56430
bu li ren 	不歷任	c=2 d=9.85447e-05 t=56430
bu li yu 	不利於	c=1 d=2.31275e-11 t=56430
bu liao 	不了	c=2 d=0.264477 t=56430
bu ling min 	不靈敏	c=1 d=0.000401622 t=56430
bu lou qi 	不漏氣	c=1 d=0.0184997 t=56430
bu lou xian 	不露餡	c=1 d=0.00324708 t=56430
bu man 	不滿	c=2 d=1.21216 t=56430
bu man zu 	不滿足	c=1 d=0.0411719 t=56430
bu men 	部門	c=30 d=0.509399 t=56430
bu meng 	不夢	c=8 d=5.89753e-05 t=56430
bu ming bai 	不明白	c=1 d=0.431711 t=56430
bu neng 	不能	c=104 d=5.13052 t=56430
bu neng gai 	不能該	c=1 d=1.5383e-08 t=56430
bu neng hun yong 	不能混用	c=1 d=0.000958635 t=56430
bu neng wei kong 	不能爲空	c=4 d=0.612244 t=56430
bu neng yong 	不能用	c=2 d=1.46047e-05 t=56430
bu pai chu 	不排除	c=1 d=0.00273944 t=56430
bu pi pei 	不匹配	c=4 d=0.0219972 t=56430
bu pin jie 	不拼接	c=2 d=5.68215e-17 t=56430
bu qi 	不起	c=0 d=0.00151463 t=56430
bu qi yong 	不啓用	c=3 d=0.101201 t=56430
bu qin le 	不親了	c=1 d=0.00215492 t=56430
bu quan 	補全	c=24 d=3.11715 t=56430
bu que ding 	不確定	c=3 d=0.467666 t=56430
bu ran 	不然	c=4 d=0.348192 t=56430
bu rang 	不讓	c=3 d=0.162854 t=56430
bu rong 	不容	c=0 d=0.00057994 t=56430
bu rong guo 	不容過	c=1 d=0.00582847 t=56430
bu rong yi 	不容易	c=1 d=0.000515693 t=56430
bu ru 	不如	c=1 d=0.00408677 t=56430
bu shan chu 	不刪除	c=1 d=0.187308 t=56430
bu shang 	不上	c=1 d=0.825665 t=56430
bu shang 	補上	c=1 d=0.00615802 t=56430
bu shao 	不少	c=3 d=0.535261 t=56430
bu she de 	不捨得	c=1 d=1.04927e-07 t=56430
bu sheng cheng 	不生成	c=1 d=1.22815e-06 t=56430
bu sheng xiao 	不生效	c=8 d=1.71834 t=56430
bu shi 	不是	c=57 d=3.79433 t=56430
bu shi 	不適	c=1 d=0.000804733 t=56430
bu shi wo 	不是我	c=1 d=0.909373 t=56430
bu shi yong 	不使用	c=8 d=0.870619 t=56430
bu shi yong 	不適用	c=14 d=3.53358 t=56430
bu shu 	部署	c=49 d=0.6705 t=56430
bu shu fang shi 	部署方式	c=1 d=0.0275983 t=56430
bu shu fu 	不舒服	c=6 d=0.995756 t=56430
bu shu jiao ben 	部署腳本	c=1 d=0.000302025 t=56430
bu shu jiao beng 	不樹膠泵	c=1 d=0.000300519 t=56430
bu shu ru 	不輸入	c=1 d=0.970446 t=56430
bu shuang 	不爽	c=1 d=0.0253494 t=56430
bu shun shou 	不順手	c=1 d=0.203926 t=56430
bu shuo 	不說	c=1 d=6.92758e-06 t=56430
bu suan zi 	卜算子	c=2 d=1.27305 t=56430
bu tai 	不太	c=7 d=1.51225 t=56430
bu tai fang bian 	不太方便	c=1 d=2.65252e-06 t=56430
