# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5872
#@/user_id	archlinux
a 	啊	c=6 d=0.914247 t=5872
bao ming 	包名	c=1 d=1.52642e-05 t=5872
bao sao miao 	包掃描	c=1 d=1.61273e-05 t=5872
bao zheng 	保證	c=2 d=0.0831469 t=5872
bao zhuang 	包裝	c=1 d=0.0100518 t=5872
bei 	備	c=1 d=0.0547488 t=5872
bei 	唄	c=1 d=0.904837 t=5872
bei 	被	c=3 d=0.00952582 t=5872
bei fen 	備份	c=4 d=0.280221 t=5872
bei jin yong 	被禁用	c=1 d=0.00506703 t=5872
bei jing 	北京	c=1 d=0.01649 t=5872
bei pian le 	被騙了	c=0 d=6.11252e-05 t=5872
bei ting 	碑亭	c=0 d=0.000286554 t=5872
bei ting yong 	碑亭用	c=1 d=0.0028799 t=5872
bei zhu 	備註	c=1 d=0.0383884 t=5872
ben di 	本地	c=3 d=0.128093 t=5872
ben ji 	本機	c=1 d=0.0713613 t=5872
ben wei 	本位	c=0 d=0.000128115 t=5872
ben wei hang 	本位行	c=1 d=0.00128757 t=5872
bi jiao 	比較	c=1 d=0.000131041 t=5872
bi jing 	畢竟	c=2 d=8.41271e-06 t=5872
bi mian 	避免	c=1 d=0.000804733 t=5872
bi xu 	必須	c=2 d=0.106994 t=5872
bian cheng 	編程	c=2 d=0.218712 t=5872
bian cheng 	變成	c=3 d=0.12316 t=5872
bian cheng de 	編程的	c=1 d=0.0102549 t=5872
bian cheng fan ti zi 	變成繁體字	c=1 d=0.000717312 t=5872
bian geng 	變更	c=1 d=0.00100779 t=5872
bian hao 	編號	c=6 d=0.165737 t=5872
bian ji 	編輯	c=1 d=0.0397166 t=5872
bian ji hong 	編輯宏	c=1 d=0.0376283 t=5872
bian jie 	邊界	c=2 d=0.255638 t=5872
bian li 	遍歷	c=2 d=0.0037949 t=5872
bian liang 	變量	c=4 d=2.69862 t=5872
bian ma 	編碼	c=3 d=0.0246907 t=5872
bian shang 	邊上	c=1 d=0.960789 t=5872
bian xie 	編寫	c=1 d=0.0243554 t=5872
bian yi 	編譯	c=2 d=0.0105578 t=5872
bian yi qi 	編譯器	c=1 d=0.00677172 t=5872
biao 	表	c=23 d=1.54258 t=5872
biao da shi 	表達式	c=3 d=0.0542515 t=5872
biao dian 	標點	c=5 d=0.304426 t=5872
biao ji 	標記	c=3 d=0.00581941 t=5872
biao ming 	表名	c=5 d=0.105928 t=5872
biao qian 	標籤	c=1 d=0.00392688 t=5872
biao qian ye 	標籤頁	c=2 d=0.111994 t=5872
biao qing 	表情	c=1 d=0.882497 t=5872
biao she ji 	表設計	c=1 d=0.147342 t=5872
biao shi 	表示	c=1 d=0.00419023 t=5872
biao ti lan 	標題欄	c=1 d=0.937067 t=5872
biao zhi 	標誌	c=1 d=0.0023461 t=5872
bie 	別	c=2 d=0.275449 t=5872
bie de 	別的	c=1 d=2.41213e-06 t=5872
bie niu 	彆扭	c=1 d=0.0104621 t=5872
bie ren 	別人	c=0 d=6.49161e-07 t=5872
bing 	並	c=10 d=0.713628 t=5872
bing bu xing 	並不行	c=1 d=2.43637e-06 t=5872
bing xiang 	冰箱	c=1 d=0.852144 t=5872
bu 	不	c=14 d=5.09359 t=5872
bu bi 	不必	c=1 d=0.0072265 t=5872
bu bi yao de 	不必要的	c=1 d=0.000863083 t=5872
bu bian 	不變	c=1 d=0.246597 t=5872
bu cun zai 	不存在	c=9 d=0.517564 t=5872
bu cuo 	不錯	c=2 d=0.97096 t=5872
bu da suan 	不打算	c=1 d=6.82444e-06 t=5872
bu dai 	不帶	c=1 d=6.72284e-06 t=5872
bu dao 	不到	c=3 d=0.0130365 t=5872
bu ding 	補丁	c=2 d=1.39838 t=5872
bu dui 	不對	c=1 d=8.1086e-05 t=5872
bu duo 	不多	c=0 d=0.0351692 t=5872
bu fen 	部分	c=0 d=0.0156468 t=5872
bu fen she bei 	部分設備	c=1 d=0.153355 t=5872
bu gan jing 	不乾淨	c=1 d=0.937067 t=5872
bu gei ni 	不給你	c=0 d=0.00753961 t=5872
bu gei ni qin 	不給你親	c=2 d=0.151928 t=5872
bu geng gai 	不更改	c=1 d=0.149569 t=5872
bu gou 	不夠	c=1 d=0.000539428 t=5872
bu guo 	不過	c=5 d=0.000662162 t=5872
bu hao 	不好	c=1 d=0.000528747 t=5872
bu hui 	不會	c=8 d=1.09145 t=5872
bu huo 	捕獲	c=3 d=0.106394 t=5872
bu ji 	不急	c=1 d=0.17552 t=5872
bu jiu shi 	不就是	c=1 d=6.49161e-06 t=5872
bu liao 	不了	c=1 d=0.264477 t=5872
bu men 	部門	c=6 d=0.509399 t=5872
bu neng 	不能	c=0 d=3.01297e-06 t=5872
bu neng wei kong 	不能爲空	c=1 d=3.02807e-05 t=5872
bu pi pei 	不匹配	c=2 d=0.0219972 t=5872
bu qi yong 	不啓用	c=3 d=0.101201 t=5872
bu qin le 	不親了	c=1 d=0.00215492 t=5872
bu quan 	補全	c=10 d=0.0701092 t=5872
bu ran 	不然	c=1 d=0.348192 t=5872
bu rang 	不讓	c=1 d=0.00217658 t=5872
bu rong 	不容	c=0 d=0.00057994 t=5872
bu rong guo 	不容過	c=1 d=0.00582847 t=5872
bu rong yi 	不容易	c=1 d=0.000515693 t=5872
bu shan chu 	不刪除	c=1 d=0.187308 t=5872
bu shi 	不是	c=8 d=0.683861 t=5872
bu shi yong 	不適用	c=1 d=3.84015e-06 t=5872
bu shu 	部署	c=10 d=0.367059 t=5872
bu shu fang shi 	部署方式	c=1 d=0.0275983 t=5872
bu shu fu 	不舒服	c=1 d=0.0972957 t=5872
bu shun shou 	不順手	c=1 d=0.203926 t=5872
bu tai fang bian 	不太方便	c=1 d=2.65252e-06 t=5872
bu tong 	不通	c=0 d=5.71404e-06 t=5872
bu wu 	不無	c=0 d=0.00780817 t=5872
bu wu liao 	不無聊	c=1 d=0.0784731 t=5872
bu xing 	不行	c=0 d=2.42422e-07 t=5872
bu yao 	不要	c=1 d=0.082936 t=5872
bu yao ma 	不要嘛	c=1 d=0.826959 t=5872
bu yong 	不用	c=3 d=0.330967 t=5872
bu zhi dao 	不知道	c=2 d=0.56836 t=5872
cai 	才	c=7 d=0.0251076 t=5872
cai dan 	菜單	c=1 d=0.008271 t=5872
cai yong 	採用	c=2 d=0.0606501 t=5872
cai zhi 	材質	c=1 d=0.000513121 t=5872
can 	慘	c=1 d=1.6998e-06 t=5872
can chu 	慘出	c=1 d=0.0125881 t=5872
can ji ren 	殘疾人	c=1 d=0.00290884 t=5872
can le 	慘了	c=2 d=0.521022 t=5872
can shu 	參數	c=58 d=10.6923 t=5872
cang 	倉	c=1 d=0.794534 t=5872
cang ku 	倉庫	c=13 d=1.97045 t=5872
cao she 	操射	c=1 d=0.101266 t=5872
cao zuo 	操作	c=11 d=1.26736 t=5872
cao zuo cheng gong 	操作成功	c=1 d=0.00562801 t=5872
ce 	測	c=1 d=0.000121445 t=5872
ce guo 	測過	c=1 d=0.000132358 t=5872
ce lve 	策略	c=1 d=5.23575e-06 t=5872
ce shi 	測試	c=15 d=0.544767 t=5872
ce yi xia 	測一下	c=1 d=0.000249763 t=5872
ceng 	層	c=1 d=0.0443785 t=5872
ceng 	曾	c=0 d=0.00439369 t=5872
cha 	查	c=0 d=0.0085435 t=5872
cha dao 	查到	c=1 d=0.0103063 t=5872
cha dian 	差點	c=1 d=0.904837 t=5872
cha jian 	插件	c=3 d=0.13068 t=5872
cha jing 	茶晶	c=1 d=2.76077e-06 t=5872
cha kan 	查看	c=9 d=2.62936 t=5872
cha le 	查了	c=1 d=0.29671 t=5872
cha ru 	插入	c=7 d=0.0192717 t=5872
cha xu 	插敘	c=1 d=0.156453 t=5872
cha xun 	查詢	c=28 d=2.84704 t=5872
cha zhao 	查找	c=24 d=4.32633 t=5872
cha zhao de 	查找的	c=1 d=0.00615802 t=5872
cha zhao mo shi 	查找模式	c=1 d=0.486752 t=5872
chai fen 	拆分	c=2 d=0.000434288 t=5872
chan pin 	產品	c=1 d=0.000194515 t=5872
chan sheng 	產生	c=1 d=0.0505395 t=5872
chang 	唱	c=1 d=0.000352662 t=5872
chang chun 	長春	c=3 d=0.131336 t=5872
chang du 	長度	c=1 d=0.0742736 t=5872
chang ge 	唱歌	c=2 d=0.000784392 t=5872
chang liang 	常量	c=2 d=1.24126e-05 t=5872
chang shang 	廠商	c=1 d=0.0432828 t=5872
chang shi 	嘗試	c=1 d=3.08924e-05 t=5872
chao 	吵	c=0 d=0.00145524 t=5872
chao guo 	超過	c=1 d=0.0105145 t=5872
chao ji 	超級	c=1 d=0.00112497 t=5872
chao jia 	超假	c=5 d=0.000318758 t=5872
chao shi 	超市	c=2 d=0.00332928 t=5872
chao shi 	超時	c=2 d=0.137385 t=5872
chao su 	超速	c=9 d=1.50848 t=5872
chao su ji lu 	超速記錄	c=1 d=0.13466 t=5872
che chang 	車場	c=1 d=0.00436124 t=5872
che liang 	車輛	c=14 d=0.564401 t=5872
che pai 	車牌	c=0 d=0.010383 t=5872
che wei 	車位	c=1 d=0.479505 t=5872
chen 	陳	c=1 d=0.0845849 t=5872
cheng 	成	c=3 d=1.10183 t=5872
cheng 	撐	c=2 d=0.0898153 t=5872
cheng gong 	成功	c=21 d=0.82297 t=5872
cheng wei 	成爲	c=1 d=0.062662 t=5872
cheng xu 	程序	c=2 d=0.074317 t=5872
chi fan 	喫飯	c=0 d=0.00230521 t=5872
chi fan lo 	喫飯咯	c=1 d=0.0231676 t=5872
chi jiu 	持久	c=0 d=0.00493237 t=5872
chi jiu hua 	持久化	c=1 d=0.0248475 t=5872
chi jiu hua 	持久話	c=1 d=0.0247235 t=5872
chi le 	喫了	c=0 d=0.0585669 t=5872
chi shen me 	喫什麼	c=1 d=0.571209 t=5872
chong 	衝	c=1 d=0.00182715 t=5872
chong fu 	重複	c=5 d=1.12754 t=5872
chong gou 	重構	c=4 d=0.108556 t=5872
chong pai 	重排	c=1 d=0.554327 t=5872
chong qi 	重啓	c=1 d=0.000497955 t=5872
chong tu 	衝突	c=1 d=0.00242967 t=5872
chong xie 	重寫	c=1 d=0.0207543 t=5872
chong xin 	重新	c=1 d=0.431711 t=5872
chong yong 	重用	c=1 d=0.479505 t=5872
chong zhi 	充值	c=1 d=0.0611149 t=5872
chong zhi 	重置	c=3 d=0.19959 t=5872
chong zhuang 	重裝	c=2 d=2.82715e-06 t=5872
chou 	抽	c=0 d=0.008291 t=5872
chou 	臭	c=0 d=1.32381e-07 t=5872
chou ling long 	臭玲瓏	c=1 d=1.33044e-06 t=5872
chou qu 	抽取	c=1 d=0.000211772 t=5872
chou te zheng 	抽特徵	c=1 d=0.0833256 t=5872
chu 	出	c=5 d=1.32123 t=5872
chu 	處	c=1 d=0.238116 t=5872
chu cuo 	出錯	c=2 d=0.0163259 t=5872
chu lai 	出來	c=1 d=0.00701293 t=5872
chu li 	處理	c=5 d=0.603844 t=5872
chu li qi 	處理器	c=3 d=0.0125523 t=5872
chu ru 	出入	c=6 d=0.0955382 t=5872
chu ru ji lu 	出入記錄	c=1 d=0.000253537 t=5872
chu shi hua 	初始化	c=3 d=8.20219e-05 t=5872
chu xian 	出現	c=5 d=0.345114 t=5872
chu zhen 	楚臻	c=2 d=0.144424 t=5872
chuan 	串	c=1 d=0.603506 t=5872
chuan 	傳	c=4 d=0.26054 t=5872
chuan can 	傳參	c=1 d=0.965605 t=5872
chuan can 	傳慘	c=3 d=1.81079 t=5872
chuan chu 	傳出	c=1 d=0.120633 t=5872
chuan di 	傳遞	c=3 d=0.244925 t=5872
chuan le 	傳了	c=2 d=0.615646 t=5872
chuan xing 	串行	c=2 d=0.052802 t=5872
chuang jian 	創建	c=5 d=1.25675 t=5872
chuang jian ren 	創建人	c=1 d=0.119433 t=5872
chuang jian shi jian 	創建時間	c=1 d=0.118838 t=5872
chuang kou 	窗口	c=2 d=0.00170908 t=5872
chuang zao 	創造	c=0 d=0.000128115 t=5872
chuang zao shou ru 	創造收入	c=1 d=0.00128757 t=5872
chuo 	戳	c=2 d=0.0108111 t=5872
ci 	此	c=0 d=0.0937067 t=5872
ci 	詞	c=1 d=0.00660453 t=5872
ci chu 	此處	c=3 d=1.31753 t=5872
ci ci 	此次	c=1 d=1.85508e-05 t=5872
ci jie kou 	此接口	c=1 d=0.941765 t=5872
ci ku 	詞庫	c=2 d=0.00315111 t=5872
ci pan 	磁盤	c=1 d=0.000536738 t=5872
ci shu 	次數	c=2 d=0.194566 t=5872
ci xing 	磁性	c=0 d=0.00356146 t=5872
cong 	從	c=9 d=1.73419 t=5872
cuan 	竄	c=0 d=0.0064894 t=5872
cuan en ao tuo rong 	竄恩奧拓容	c=1 d=0.0652193 t=5872
cun chu 	存儲	c=1 d=0.0265162 t=5872
cun zai 	存在	c=2 d=0.467666 t=5872
cuo wu 	錯誤	c=24 d=1.22872 t=5872
cuo wu ma 	錯誤碼	c=2 d=0.00904324 t=5872
da 	大	c=4 d=0.179769 t=5872
da 	打	c=2 d=0.83527 t=5872
da an 	答案	c=1 d=0.414783 t=5872
da bao 	打包	c=4 d=0.748593 t=5872
da dian hua 	打電話	c=1 d=0.232236 t=5872
da gai 	大概	c=0 d=2.13308e-05 t=5872
da gai le 	大概了	c=1 d=9.09683e-05 t=5872
da gai lv 	大概率	c=1 d=0.00012341 t=5872
da jian 	搭建	c=3 d=0.0253516 t=5872
da kai 	打開	c=8 d=1.28476 t=5872
da xiao 	大小	c=1 d=1 t=3254
da xiao xie 	大小寫	c=1 d=0.0432828 t=5872
da xie 	大寫	c=1 d=0.0317457 t=5872
da xue 	大學	c=4 d=0.144859 t=5872
da yin 	打印	c=11 d=0.0911521 t=5872
da you 	打油	c=1 d=0.000518277 t=5872
da yu 	大於	c=14 d=0.691541 t=5872
da zi 	打字	c=1 d=0.160414 t=5872
dai biao 	代表	c=1 d=0.207008 t=5872
dai hui qu 	帶回去	c=2 d=8.54999e-06 t=5872
dai le 	帶了	c=1 d=0.0871609 t=5872
dai li 	代理	c=2 d=5.51188e-06 t=5872
dai ma 	代碼	c=10 d=1.22977 t=5872
dai ma shen he 	代碼審覈	c=1 d=0.145876 t=5872
dai shang 	戴上	c=1 d=0.0889216 t=5872
dai ti 	代替	c=1 d=0.0156075 t=5872
dan 	但	c=0 d=0.00031354 t=5872
dan biao 	但表	c=1 d=0.0850088 t=5872
dan biao 	單表	c=2 d=0.216115 t=5872
dan bu 	但不	c=1 d=0.0555762 t=5872
dan ci 	單詞	c=9 d=0.748091 t=5872
dan du 	單獨	c=1 d=0.0450492 t=5872
dan ji 	單擊	c=1 d=0.0152985 t=5872
dan kei dan kei 	但剋但剋	c=1 d=0.97531 t=5872
dan shi 	但是	c=4 d=0.701692 t=5872
dang 	當	c=2 d=0.0537725 t=5872
dang ji 	宕機	c=3 d=0.178928 t=5872
dang lu 	擋路	c=1 d=0.282239 t=5872
dang qian 	當前	c=14 d=0.762413 t=5872
dang qian ye 	當前頁	c=4 d=0.220678 t=5872
dao 	到	c=12 d=1.2118 t=5872
dao bao 	導報	c=1 d=4.66697e-06 t=5872
dao chu 	導出	c=12 d=2.63859 t=5872
dao dan gui 	搗蛋鬼	c=1 d=0.000169103 t=5872
dao di 	到底	c=1 d=1.41271e-06 t=5872
dao le 	到了	c=1 d=0.000183188 t=5872
dao shi hou 	到時候	c=1 d=0.380983 t=5872
dao shou shang 	到受傷	c=1 d=0.000184106 t=5872
dao xu 	倒序	c=1 d=0.19205 t=5872
dao zha 	道閘	c=1 d=0.562705 t=5872
dao zhi 	導致	c=1 d=1.42691e-06 t=5872
de 	地	c=1 d=0.00117088 t=5872
de 	的	c=171 d=9.85904 t=5872
de hua 	的話	c=0 d=1.27168e-05 t=5872
dei 	得	c=2 d=0.0948935 t=5872
dei de 	得的	c=2 d=0.951229 t=5872
deng 	等	c=5 d=1.09013 t=5872
deng chu 	登出	c=4 d=1.19611 t=5872
deng lu 	登錄	c=42 d=3.4679 t=5872
deng lu tiao zhuan 	登錄跳轉	c=1 d=2.89483e-05 t=5872
deng yu 	等於	c=7 d=1.56525 t=5872
di 	低	c=1 d=0.205975 t=5872
di 	第	c=25 d=1.37989 t=5872
di di 	弟弟	c=1 d=0.101774 t=5872
di fang 	地方	c=2 d=0.205975 t=5872
di feng 	低風	c=1 d=0.209088 t=5872
di liu 	第六	c=0 d=0.000369786 t=5872
di liu bu fen 	第六部分	c=1 d=0.0037164 t=5872
di san bu fen 	第三部分	c=1 d=0.00115345 t=5872
di si 	第四	c=0 d=0.000419023 t=5872
di si bu fen 	第四部分	c=1 d=0.00421123 t=5872
di tu 	地圖	c=0 d=0.0960789 t=5872
di tu shang 	地圖上	c=1 d=0.965605 t=5872
di wu 	第五	c=0 d=0.00397558 t=5872
di wu bu fen 	第五部分	c=1 d=0.0399551 t=5872
di yi chu 	第一處	c=1 d=0.29523 t=5872
di yi ci 	第一次	c=1 d=0.00323088 t=5872
di yi ge 	第一個	c=1 d=0.00188279 t=5872
di zhi 	地址	c=4 d=0.69087 t=5872
di zhong hai 	地中海	c=1 d=0.70822 t=5872
dian 	點	c=1 d=0.0682212 t=5872
dian chi 	電池	c=1 d=0.190139 t=5872
dian dong che 	電動車	c=0 d=0.0955997 t=5872
dian nao 	電腦	c=2 d=0.000534061 t=5872
dian xin 	電信	c=1 d=0.0122773 t=5872
dian zi 	電子	c=1 d=0.000193545 t=5872
diao 	調	c=1 d=5.6647e-05 t=5872
diao 	釣	c=1 d=5.06789e-05 t=5872
diao bu tong 	調不通	c=2 d=0.000159993 t=5872
diao dao 	叼到	c=1 d=0.0177743 t=5872
diao huan 	調換	c=2 d=0.00921575 t=5872
diao tong 	吊桶	c=1 d=0.995012 t=5872
diao yong 	調用	c=4 d=2.2199 t=5872
diao yu 	叼魚	c=1 d=0.0174224 t=5872
diao zhe 	叼着	c=0 d=0.00186856 t=5872
diao zhe yu 	叼着魚	c=1 d=0.0220343 t=5872
die dai 	迭代	c=2 d=0.365601 t=5872
ding 	定	c=0 d=0.0612626 t=5872
ding de 	定的	c=1 d=7.56041e-05 t=5872
ding kai fong ding 	定開甮定	c=-1 d=0 t=5872
ding shi 	定時	c=0 d=0.00685632 t=5872
ding shi bei fen 	定時備份	c=1 d=0.0689068 t=5872
ding yi 	定義	c=11 d=0.906991 t=5872
ding yue 	訂閱	c=1 d=0.937067 t=5872
ding zhi 	定製	c=3 d=0.149449 t=5872
diu shi 	丟失	c=5 d=0.35388 t=5872
dong 	東	c=1 d=3.17564e-06 t=5872
dong gan 	凍乾	c=1 d=0.923116 t=5872
dong gan 	動感	c=1 d=0.918512 t=5872
dong men 	東門	c=1 d=0.980199 t=5872
dong tai 	動態	c=10 d=0.742511 t=5872
dong tai shu ju ku 	動態數據庫	c=1 d=1.65355e-05 t=5872
dong xi 	東西	c=1 d=0.362402 t=5872
dong zuo 	動作	c=4 d=0.055379 t=5872
dou 	都	c=3 d=0.574072 t=5872
dou bu 	都不	c=0 d=1.90664e-05 t=5872
dou bu yi yang 	都不一樣	c=1 d=0.000191619 t=5872
dou da 	都打	c=0 d=4.53999e-06 t=5872
dou da yin ni 	都打印尼	c=1 d=4.56275e-05 t=5872
dou dei 	都得	c=1 d=0.353455 t=5872
dou fu 	豆腐	c=0 d=0.0843665 t=5872
dou fu kuai 	豆腐快	c=1 d=0.847894 t=5872
dou mei 	都沒	c=1 d=0.000332928 t=5872
dou mei mai 	都沒買	c=1 d=0.00334597 t=5872
dou shi 	都是	c=3 d=0.375311 t=5872
dou xiao le 	都小了	c=1 d=0.0884781 t=5872
dou yao 	都要	c=1 d=0.214381 t=5872
dou zai 	都在	c=1 d=0.111359 t=5872
du 	杜	c=0 d=0.0144424 t=5872
du che 	堵車	c=1 d=0.985112 t=5872
du li 	獨立	c=2 d=0.0967918 t=5872
du li bu shu 	獨立部署	c=1 d=0.0291588 t=5872
du qu 	讀取	c=1 d=0.017163 t=5872
du xiao kang 	杜小康	c=1 d=0.145148 t=5872
du zi 	肚子	c=1 d=0.0968105 t=5872
duan 	端	c=0 d=0.0158026 t=5872
duan dian 	端點	c=1 d=0.00344787 t=5872
duan kou 	端口	c=7 d=0.909448 t=5872
duan luo 	段落	c=1 d=0.00168667 t=5872
duan luo zhou 	段落軸	c=1 d=0.0145524 t=5872
duan xin 	短信	c=1 d=0.000480828 t=5872
dui 	對	c=8 d=2.0589 t=5872
dui shen me 	對什麼	c=1 d=0.000617396 t=5872
dui wai 	對外	c=1 d=0.0346522 t=5872
dui wai ti gong fu wu 	對外提供服務	c=1 d=0.0480747 t=5872
dui wai zheng chang 	對外正常	c=1 d=0.0578443 t=5872
dui xiang 	對象	c=13 d=1.41362 t=5872
dui ying 	對應	c=6 d=0.194953 t=5872
dui zhang 	隊長	c=1 d=0.000675539 t=5872
duo 	多	c=4 d=1.56861 t=5872
duo a 	多啊	c=1 d=0.612626 t=5872
duo ceng 	多層	c=1 d=0.0154523 t=5872
duo ci 	多次	c=1 d=0.00216573 t=5872
duo dian 	多點	c=1 d=0.00113627 t=5872
duo ge 	多個	c=6 d=1.46297 t=5872
duo ge zhi 	多個值	c=1 d=0.0930145 t=5872
duo ji 	多級	c=1 d=0.025223 t=5872
duo jiu 	多久	c=1 d=0.0116786 t=5872
duo shang ce suo 	多上廁所	c=1 d=0.0997588 t=5872
duo shao 	多少	c=2 d=0.000109695 t=5872
duo shao qian 	多少錢	c=1 d=0.0113334 t=5872
duo xian shi qi 	多顯示器	c=2 d=1.49484 t=5872
duo xiu xi 	多休息	c=1 d=0.000399619 t=5872
duo yu 	多餘	c=3 d=0.832331 t=5872
e 	額	c=3 d=0.889574 t=5872
e e 	哦哦	c=1 d=0.00990218 t=5872
ei 	誒	c=1 d=0.470011 t=5872
en 	恩	c=0 d=0.0064894 t=5872
en en 	嗯嗯	c=1 d=0.293758 t=5872
er 	二	c=2 d=0.366282 t=5872
er duo 	耳朵	c=2 d=0.0880368 t=5872
er fei 	而非	c=1 d=0.162838 t=5872
er ji 	耳機	c=2 d=0.175231 t=5872
er qie 	而且	c=1 d=0.000119165 t=5872
fa bu 	發佈	c=1 d=7.50456e-06 t=5872
fa cuo le 	發錯了	c=2 d=0.694197 t=5872
fa de 	發的	c=1 d=0.0131808 t=5872
fa le 	發了	c=1 d=0.00848038 t=5872
fa sheng 	發生	c=2 d=0.206109 t=5872
fa song 	發送	c=2 d=0.122582 t=5872
fa xian 	發現	c=2 d=0.723955 t=5872
fan 	反	c=2 d=0.478052 t=5872
fan 	飯	c=1 d=0.21119 t=5872
fan fan 	煩煩	c=2 d=0.000531398 t=5872
fan hui 	返回	c=22 d=0.639001 t=5872
fan hui jie guo 	返回結果	c=1 d=0.00264522 t=5872
fan hui ma 	返回碼	c=5 d=0.016254 t=5872
fan hui shu ju 	返回數據	c=1 d=0.00491728 t=5872
fan ti zi 	繁體字	c=0 d=7.13734e-05 t=5872
fan wei 	範圍	c=2 d=0.540641 t=5872
fan wei nei 	範圍內	c=1 d=0.379083 t=5872
fan xiang 	反向	c=1 d=0.00192082 t=5872
fan xu lie hua 	反序列化	c=2 d=0.0011582 t=5872
fan ying 	反應	c=1 d=0.0209629 t=5872
fan zheng 	反正	c=2 d=0.974941 t=5872
fang an 	方案	c=1 d=0.308819 t=5872
fang fa 	方法	c=5 d=1.03729 t=5872
fang ke 	方可	c=1 d=0.00357068 t=5872
fang ke 	訪客	c=9 d=0.262538 t=5872
fang shi 	方式	c=8 d=2.11838 t=5872
fang wen 	訪問	c=3 d=0.0202997 t=5872
fang wen ceng 	訪問曾	c=1 d=0.0441572 t=5872
fang xiang 	方向	c=1 d=0.242926 t=5872
fang zi 	房子	c=1 d=0.690734 t=5872
fang zu 	房租	c=1 d=0.0523397 t=5872
fei 	非	c=3 d=0.608766 t=5872
fei ji shang 	飛機上	c=1 d=0.0776922 t=5872
fei qi 	廢棄	c=1 d=0.00481991 t=5872
fen 	分	c=1 d=0.000228266 t=5872
fen bu shi 	分佈式	c=2 d=0.12493 t=5872
fen ceng 	分層	c=2 d=1.65564 t=5872
fen cheng 	分成	c=0 d=8.33397e-05 t=5872
fen ge 	分割	c=2 d=0.0327177 t=5872
fen ge fu 	分隔符	c=2 d=2.48702e-05 t=5872
fen ku 	分庫	c=2 d=2.64478e-05 t=5872
fen pei 	分配	c=1 d=0.000493001 t=5872
fen qu 	分區	c=1 d=1.73414e-06 t=5872
fen ye 	分頁	c=13 d=0.67192 t=5872
fen ye cha xun 	分頁查詢	c=2 d=0.105399 t=5872
fen zhi 	分支	c=1 d=0.960789 t=5872
fen zhong 	分鐘	c=1 d=8.31387e-05 t=5872
fen zi 	分子	c=1 d=0.000804732 t=5872
fen zu 	分組	c=5 d=0.114476 t=5872
feng 	風	c=1 d=0.210136 t=5872
feng liang 	風量	c=4 d=0.795614 t=5872
feng zhuang 	封裝	c=3 d=0.0227572 t=5872
fou 	否	c=1 d=0.0347353 t=5872
fu 	副	c=1 d=0.000754089 t=5872
fu 	父	c=3 d=0.106117 t=5872
fu ben 	副本	c=1 d=0.00477195 t=5872
fu gai 	覆蓋	c=5 d=1.01905 t=5872
fu hao 	符號	c=4 d=0.330439 t=5872
fu jie dian 	父節點	c=1 d=0.733447 t=5872
fu lei 	弗雷	c=3 d=0.0299004 t=5872
fu lei 	父類	c=2 d=0.0297166 t=5872
fu shu 	複數	c=1 d=0.000773179 t=5872
fu shu 	附屬	c=1 d=0.000769323 t=5872
fu wu 	服務	c=23 d=0.569641 t=5872
fu wu qi 	服務器	c=14 d=0.564627 t=5872
fu xian 	復現	c=1 d=1.37783e-06 t=5872
fu yong 	復用	c=0 d=0.0369723 t=5872
fu yong qi 	復用器	c=1 d=0.371577 t=5872
